Doctor,ClinicName,Address,City,Country,Specialty,SubSpecialty,Quote(EUR)
Dr John Smith,Ortho Center,123 Main St,Riga,Latvia,Orthopedics,Arthroscopy,277
Dr John Smith,Ortho Center,123 Main St,Riga,Latvia,Orthopedics,Foot and ankle surgery,7719
Dr John Smith,Ortho Center,123 Main St,Riga,Latvia,Orthopedics,Hip replacement surgery,6453
Dr John Smith,Ortho Center,123 Main St,Riga,Latvia,Orthopedics,Joint fusion,2682
Dr John Smith,Ortho Center,123 Main St,Riga,Latvia,Orthopedics,Knee replacement surgery,2582
Dr John Smith,Women's Health Clinic,456 Oak Ave,Vilnius,Lithuania,Gynecology,Prenatal Care,5162
Dr John Smith,Women's Health Clinic,456 Oak Ave,Vilnius,Lithuania,Gynecology,Fertility Treatment,7252
Dr John Smith,Women's Health Clinic,456 Oak Ave,Vilnius,Lithuania,Gynecology,Menopause Management,6179
Dr John Smith,Women's Health Clinic,456 Oak Ave,Vilnius,Lithuania,Gynecology,Pelvic Floor Therapy,1992
Dr John Smith,Women's Health Clinic,456 Oak Ave,Vilnius,Lithuania,Gynecology,Gynecologic Surgery,1069
Dr John Smith,Eye Care Institute,789 Pine Rd,Bucharest,Romania,Ophthalmology,Cataract Surgery,6717
Dr John Smith,Eye Care Institute,789 Pine Rd,Bucharest,Romania,Ophthalmology,Glaucoma Treatment,665
Dr John Smith,Eye Care Institute,789 Pine Rd,Bucharest,Romania,Ophthalmology,Refractive Surgery,9793
Dr John Smith,Eye Care Institute,789 Pine Rd,Bucharest,Romania,Ophthalmology,Retina Services,8196
Dr John Smith,Eye Care Institute,789 Pine Rd,Bucharest,Romania,Ophthalmology,Pediatric Ophthalmology,8853
Dr John Smith,General Hospital,101 Elm St,Paris,France,Other,General Surgery,5415
Dr John Smith,General Hospital,101 Elm St,Paris,France,Other,Internal Medicine,2957
Dr John Smith,General Hospital,101 Elm St,Paris,France,Other,Emergency Care,6306
Dr John Smith,General Hospital,101 Elm St,Paris,France,Other,Family Medicine,7461
Dr John Smith,General Hospital,101 Elm St,Paris,France,Other,Diagnostics,3043
Dr John Smith,Spine Specialists,202 Maple Dr,Barcelona,Spain,Orthopedics,Arthroscopy,3359
Dr John Smith,Spine Specialists,202 Maple Dr,Barcelona,Spain,Orthopedics,Foot and ankle surgery,4958
Dr John Smith,Spine Specialists,202 Maple Dr,Barcelona,Spain,Orthopedics,Hip replacement surgery,88
Dr John Smith,Spine Specialists,202 Maple Dr,Barcelona,Spain,Orthopedics,Joint fusion,4402
Dr John Smith,Spine Specialists,202 Maple Dr,Barcelona,Spain,Orthopedics,Knee replacement surgery,478
Dr John Smith,Fertility Center,303 Cedar Ln,Istanbul,Turkey,Gynecology,Prenatal Care,2953
Dr John Smith,Fertility Center,303 Cedar Ln,Istanbul,Turkey,Gynecology,Fertility Treatment,9863
Dr John Smith,Fertility Center,303 Cedar Ln,Istanbul,Turkey,Gynecology,Menopause Management,9301
Dr John Smith,Fertility Center,303 Cedar Ln,Istanbul,Turkey,Gynecology,Pelvic Floor Therapy,8552
Dr John Smith,Fertility Center,303 Cedar Ln,Istanbul,Turkey,Gynecology,Gynecologic Surgery,3419
Dr John Smith,Vision Care,404 Birch Ave,Warsaw,Poland,Ophthalmology,Cataract Surgery,3672
Dr John Smith,Vision Care,404 Birch Ave,Warsaw,Poland,Ophthalmology,Glaucoma Treatment,2382
Dr John Smith,Vision Care,404 Birch Ave,Warsaw,Poland,Ophthalmology,Refractive Surgery,7224
Dr John Smith,Vision Care,404 Birch Ave,Warsaw,Poland,Ophthalmology,Retina Services,8357
